,Bfl1,BclB,Bcl2,BclXL,BclW,Mcl1
F21,32801.0,1534.0,133.0,15.0,468.0,461.0
F30D,19275.0,866.0,74.0,73.0,230.0,141.0
B+,1258.0,39055.0,182.0,17.0,393.0,290.0
B-CDP01,5905.0,13644.0,211.0,32.0,593.0,3882.0
B40A,2348.0,25047.0,55.0,95.0,340.0,239.0
2+,233.0,81.0,1009.0,79.0,575.0,32.0
4LVT,199.0,92.0,360.0,16.0,1151.0,45.0
X-CDP07,631.0,7325.0,88.0,115.0,9910.0,1991.0
MINDI,402.0,1375.0,62.0,3.0,163.0,6521.0
Bim,81.0,8.0,1.0,36.0,32.0,81.0
Noxa,0.0,0.0,0.0,0.0,0.0,0.0
Puma,35.0,2.0,0.0,0.0,0.0,0.0
Bad,0.0,0.0,0.0,0.0,0.0,0.0
Bik,0.0,0.0,0.0,0.0,0.0,0.0
Hrk,0.0,0.0,0.0,0.0,0.0,0.0
Bmf,0.0,0.0,1.0,0.0,0.0,0.0
