,Bfl1,BclB,Bcl2,BclXL,BclW,Mcl1
F21,10481.0,370.0,1791.0,4253.0,169.0,44.0
F30D,6222.0,277.0,1424.0,2405.0,121.0,35.0
B+,225.0,13327.0,812.0,234.0,109.0,18.0
B-CDP01,1916.0,4695.0,4978.0,5624.0,516.0,530.0
B40A,657.0,7860.0,683.0,1237.0,207.0,34.0
2+,735.0,918.0,43958.0,1287.0,457.0,62.0
4LVT,438.0,527.0,26465.0,632.0,909.0,31.0
X-CDP07,468.0,2094.0,6661.0,13878.0,4585.0,227.0
MINDI,81.0,341.0,94.0,55.0,39.0,756.0
Bim,13.0,0.0,2.0,0.0,0.0,0.0
Noxa,16.0,1.0,1.0,2.0,0.0,0.0
Puma,0.0,0.0,0.0,0.0,0.0,0.0
Bad,0.0,0.0,0.0,0.0,0.0,0.0
Bik,0.0,0.0,0.0,0.0,1.0,0.0
Hrk,0.0,0.0,0.0,0.0,0.0,0.0
Bmf,0.0,0.0,0.0,0.0,0.0,0.0
